id,date_start,country,link,description,persons
187,2015-11-20T00:00:00,Danmark,/menu/kalender/regentparret-er-til-stede-ved-kobenhavns-universitets-arsfest-kl-1400-2,Regentparret er til stede ved Københavns Universitets årsfest kl. 14.00,"H.M. Dronningen,H.K.H. Prins Henrik"
188,2015-11-20T00:00:00,Danmark,/menu/kalender/hkh-kronprinsen-er-til-stede-ved-abningsceremoni-for-european-curling-championships-201,H.K.H. Kronprinsen er til stede ved åbningsceremoni for European Curling Championships 2015 kl. 15.50,
189,2015-11-20T00:00:00,Danmark,/menu/kalender/regentparret-er-til-stede-ved-kobenhavns-universitets-arsfest-kl-1930,Regentparret er til stede ved Københavns Universitets årsfest kl. 19.30,"H.M. Dronningen,H.K.H. Prins Henrik"
190,2015-11-23T00:00:00,Danmark,/menu/kalender/hm-dronningen-deltager-i-pressemode-i-tivoli-kl-1330,H.M. Dronningen deltager i pressemøde i Tivoli kl. 13.30,H.M. Dronningen
191,2015-11-24T00:00:00,Danmark,/menu/kalender/regentparret-afholder-kongejagt-i-grib-skov-kl-800-3,Regentparret afholder Kongejagt i Grib Skov kl. 8.00,"H.M. Dronningen,H.K.H. Prins Henrik"
192,2015-11-24T00:00:00,Danmark,/menu/kalender/hkh-kronprinsessen-deltager-i-bornehjalpsdagen-og-eboks-tennisarrangement-med-caroline,H.K.H. Kronprinsessen deltager i Børnehjælpsdagen og eboks' tennisarrangement med Caroline Wozniacki kl. 13.00,H.K.H. Kronprinsessen
193,2015-11-24T00:00:00,Danmark,/menu/kalender/hkh-kronprinsessen-overvarer-overrakkelse-af-the-french-embassys-prize-for-human-right,H.K.H. Kronprinsessen overværer overrækkelse af the French Embassy's Prize for Human Rights 2015 kl. 15.30,H.K.H. Kronprinsessen
194,2015-11-25T00:00:00,Danmark,/menu/kalender/hkh-kronprinsessen-deltager-i-mode-med-minister-for-born-undervisning-og-ligestilling,"H.K.H. Kronprinsessen deltager i møde med minister for børn, undervisning og ligestilling kl. 11.45",H.K.H. Kronprinsessen
195,2015-11-25T00:00:00,Danmark,/menu/kalender/hkh-kronprinsessen-afholder-julereception-for-mary-fondens-samarbejdspartnere-kl-1500-4,H.K.H. Kronprinsessen afholder julereception for Mary Fondens samarbejdspartnere kl. 15.00,H.K.H. Kronprinsessen
196,2015-11-27T00:00:00,Danmark,/menu/kalender/hkh-kronprinsen-er-regent-den-27-november--4-december,H.K.H. Kronprinsen er regent den 27. november – 4. december,H.K.H. Kronprinsessen
197,2015-11-27T00:00:00,Danmark,/menu/kalender/hkh-prinsgemalen-afholder-jagt-i-klosterheden-plantage,H.K.H. Prinsgemalen afholder jagt i Klosterheden Plantage,H.K.H. Prins Henrik
198,2015-11-27T00:00:00,Danmark,/menu/kalender/hkh-kronprinsen-er-til-stede-ved-vm-i-trampolin-tumbling-og-dmt-2015-kl-1700,"H.K.H. Kronprinsen er til stede ved VM i Trampolin, Tumbling og DMT 2015 kl. 17.00",H.K.H. Kronprinsessen
199,2015-11-27T00:00:00,Danmark,/menu/kalender/hkh-kronprinsessen-overvarer-dr-ultra-galla-kl-1900,H.K.H. Kronprinsessen overværer DR Ultra Galla kl. 19.00,H.K.H. Kronprinsessen
200,2015-11-29T00:00:00,Danmark,/menu/kalender/hkh-kronprinsessen-forestar-juletrastanding-nr-100-pa-kobenhavns-radhusplads-kl-1545,H.K.H. Kronprinsessen forestår juletræstænding nr. 100 på Københavns Rådhusplads kl. 15.45,H.K.H. Kronprinsessen
201,2015-11-30T00:00:00,Danmark,/menu/kalender/offentlig-audiens-pa-christiansborg-slot-kl-1000-41,Offentlig audiens på Christiansborg Slot kl. 10.00,
202,2015-11-30T00:00:00,Danmark,/menu/kalender/hkh-prinsgemalen-deltager-i-komitemode-for-hkh-prins-henriks-aresmedalje-og-eksportf,H.K.H. Prinsgemalen deltager i komitémøde for H.K.H. Prins Henriks Æresmedalje og Eksportforeningens Diplom kl. 11.00,H.K.H. Prins Henrik
203,2015-10-01T00:00:00,Danmark,/menu/kalender/hkh-prinsesse-benedikte-aflagger-besog-hos-jysk-as-kl-1200,H.K.H. Prinsesse Benedikte aflægger besøg hos Jysk A/S kl. 12.00,H.K.H. Prinsesse Benedikte
204,2015-10-01T00:00:00,Danmark,/menu/kalender/hkh-prinsesse-benedikte-besoger-udstillingen-et-eventyr-i-dansk-solv-kl-1430,"H.K.H. Prinsesse Benedikte besøger udstillingen ""Et eventyr i dansk sølv"" kl. 14.30",H.K.H. Prinsesse Benedikte
205,2015-10-02T00:00:00,Danmark,/menu/kalender/hkh-kronprinsessen-overrakker-guldsmedelaugets-talentpris-kl-1730,H.K.H. Kronprinsessen overrækker Guldsmedelaugets talentpris kl. 17.30,H.K.H. Kronprinsessen
206,2015-10-03T00:00:00,Danmark,/menu/kalender/hkh-kronprinsen-er-regent-den-3--4-oktober,H.K.H. Kronprinsen er regent den 3. – 4. oktober,H.K.H. Kronprinsen
207,2015-10-03T00:00:00,Danmark,/menu/kalender/hkh-prins-joachim-besoger-verdensmesterskabet-2015-i-plojning-kl-1100,H.K.H. Prins Joachim besøger Verdensmesterskabet 2015 i pløjning kl. 11.00,H.K.H. Prins Joachim
208,2015-10-03T00:00:00,Danmark,/menu/kalender/hkh-prinsesse-benedikte-overvarer-danmarksmesterskaberne-i-roning-kl-1130,H.K.H. Prinsesse Benedikte overværer Danmarksmesterskaberne i roning kl. 11.30,H.K.H. Kronprinsessen
209,2015-10-03T00:00:00,Danmark,/menu/kalender/dkh-kronprinsen-og-kronprinsessen-uddeler-kronprinsparrets-priser-2015-kl-2000,D.K.H. Kronprinsen og Kronprinsessen uddeler Kronprinsparrets Priser 2015 kl. 20.00,"H.K.H. Kronprinsen,H.K.H. Kronprinsessen"
210,2015-10-05T00:00:00,Danmark,/menu/kalender/offentlig-audiens-pa-christiansborg-slot-kl-1000-37-2,Offentlig audiens på Christiansborg Slot kl. 10.00,
211,2015-10-05T00:00:00,Danmark,/menu/kalender/hkh-prins-joachim-deltager-i-lanceringen-af-bornenes-u-landskalender-2015-kl-1000,H.K.H. Prins Joachim deltager i lanceringen af Børnenes U-landskalender 2015 kl. 10.00,H.K.H. Prins Joachim
